file,SDMatte_MSE,SDMatte_SAD,SDMatte_MAD,MAM_MSE,MAM_SAD,MAM_MAD,ZIM_MSE,ZIM_SAD,ZIM_MAD,avg_MSE,avg_SAD,avg_MAD,mse_std
1.png,0.008993551568863988,20.49616470588235,0.01954666586483226,0.016563519452544924,54.33370196078431,0.0518166560752719,0.005686493447907658,13.954337254901954,0.013307893042470889,0.01041452148977219,29.594734640522873,0.02822373832752502,0.004552785983218278
10.png,0.0607509166302474,112.46352941176468,0.10725357953239888,0.24986395274524922,296.3948588235295,0.2826641643748565,0.0556898029214462,111.38947450980392,0.10622928095798866,0.12210155743231428,173.41595424836603,0.165382341621748,0.09036528079621195
100.png,0.016199197369509127,40.304192156862776,0.03843707290350225,0.03644813113742405,109.71663921568627,0.10463394090241077,0.04673581518974729,66.40071764705881,0.06332465901094324,0.03312771456556016,72.1405163398693,0.06879855760561876,0.01268569093198719
101.png,0.02277775228779758,47.01785098039214,0.044839716892616406,0.3424642950349108,381.8311411764704,0.3641425525440887,0.10448574734944101,124.5090392156863,0.1187410728604186,0.15657593155738314,184.45267712418294,0.1759077807657079,0.13560951754089995
102.png,0.017218638914724995,30.526184313725498,0.029112037957883356,0.07442671767384766,122.24776470588235,0.11658455343807445,0.7557892496298939,890.731560784314,0.8494678123324527,0.2824782020728222,347.8351699346406,0.33172146790947016,0.33549535702053757
103.png,0.5932020694244283,628.6653686274511,0.5995420156740676,0.3205952383215178,360.48777254901944,0.34378793005849784,0.38334589644699346,414.61355686274516,0.39540630041384234,0.4323810680643132,467.92223267973856,0.44624541538213597,0.11656745438485447
104.png,0.011110943343629286,24.67489019607843,0.023531809040144375,0.08118511329014363,112.15478823529413,0.10695914100198187,0.9681432710946036,1025.0822352941173,0.9775946000043081,0.35347977590945884,387.3039712418299,0.3693618500154781,0.43557319060316924
105.png,0.033577552026897516,53.73054509803923,0.05124144086650775,0.11169229244186711,216.56406666666663,0.20653158823649084,0.046326623687098806,70.52694509803919,0.06725973615459366,0.06386548938528781,113.60718562091502,0.1083442550858641,0.034216828462116454
106.png,0.006199591686889697,18.500129411764693,0.017643098270191854,0.42892632532468095,593.4163490196078,0.5659259309955671,0.15295767475026967,171.1047803921566,0.1631782344743315,0.19602786392061344,261.0070862745097,0.24891575458003015,0.1752441225441354
107.png,0.02186445864655797,40.35422745098038,0.038484790278416045,0.01211681320501355,40.77040784313726,0.038881690829407935,0.9484123146676047,1010.1453098039215,0.9633496377982345,0.3274645288397254,363.756648366013,0.3469053729686862,0.43909442317214864
108.png,0.05662151458399976,96.08625098039214,0.09163498971976484,0.07648124938284326,153.5645882352942,0.14645060370950144,0.8306879937195036,909.9240627450978,0.8677712085200289,0.3212635858954489,386.5249673202614,0.36861893398309836,0.36030868500193625
109.png,0.007720699757624021,21.847600000000003,0.02083549499511719,0.024706810507944856,49.84903921568627,0.04753974839752795,0.9718338518388359,1029.1683686274514,0.9814914404177203,0.33475378736813494,366.9550026143792,0.3499555612701218,0.4505370043249129
